rank,segment_id,country,road_class,SpeedLimit,F85thPercentileSpeed,expected_speed,speed_residual
10417,42232,Thailand,secondary,80.0,64.0,70.95869070527151,-6.958690705271508
10418,PR/3678,India,primary,55.0,55.25,62.219071030472435,-6.969071030472435
10419,46286,Thailand,secondary,90.0,56.0,62.97724792479166,-6.977247924791662
10420,41861,Thailand,secondary,90.0,64.5,71.47761233665189,-6.977612336651887
10421,52314,Thailand,secondary,90.0,64.5,71.47761233665189,-6.977612336651887
10422,35712,Thailand,trunk,90.0,94.0,100.97795930844782,-6.977959308447822
10423,34509,Thailand,trunk,90.0,84.5,91.47852195485848,-6.978521954858479
10424,SE/10366,India,secondary,45.0,36.5,43.481098422364305,-6.981098422364305
10425,53318,Thailand,secondary,90.0,76.5,83.48180448962006,-6.98180448962006
10426,42338,Thailand,secondary,90.0,75.5,82.48470572147934,-6.984705721479344
10427,SE/4155,India,secondary,55.0,45.5,52.4944954256338,-6.994495425633801
10428,36929,Thailand,secondary,80.0,59.0,65.99605683151776,-6.9960568315177625
10429,TR/10952,India,trunk,30.0,75.33333333333333,82.32999472162504,-6.996661388291713
10430,48687,Thailand,secondary,90.0,71.0,77.99945540962314,-6.999455409623138
10431,53120,Thailand,secondary,90.0,65.5,72.50033539789848,-7.000335397898482
10432,SE/5339,India,secondary,55.0,41.5,48.5163436201707,-7.0163436201707015
10433,SE/7535,India,secondary,55.0,47.0,54.019510396608254,-7.019510396608254
10434,35171,Thailand,primary,80.0,76.0,83.02409818201637,-7.024098182016374
10435,33942,Thailand,trunk,50.0,84.0,91.02656244979957,-7.02656244979957
10436,50692,Thailand,secondary,90.0,66.0,73.0278641627832,-7.027864162783203
10437,TR/13308,India,trunk,55.0,52.4,59.43046048225473,-7.030460482254732
10438,43699,Thailand,secondary,90.0,72.0,79.03420829064632,-7.034208290646319
10439,36256,Thailand,trunk,80.0,82.0,89.03433397404173,-7.034333974041729
10440,26025,Thailand,primary,90.0,84.0,91.04414582530842,-7.044145825308419
10441,996,Thailand,trunk,90.0,94.0,101.04470392491851,-7.044703924918508
